dataset,similarity,eps,mu,gamma,runtime(sec),memory(MB),ARI,Modularity
moreno_names,Gen,0.5,2,1,1.0477,3.86,Non,0.2131
,Gen,0.5,2,1,5.9228,23.39,Non,0.4236
,cosine,0.5,2,1,4.7157,23.63,Non,0.5545
,Gen,0.5,2,1,24.6709,54.05,Non,0.3371
,cosine,0.5,2,1,15.5346,52.57,Non,0.5144
,Gen,0.5,2,1,24.3896,54.35,Non,0.5089
,cosine,0.5,2,1,29.5095,52.69,Non,0.5264
,scan,0.1,2,1.0,0.0437,2.34,Non,0.0005,inf,-1.0000,0.0006
,scan,0.1,3,1.0,0.0435,2.31,Non,0.0005,inf,-1.0000,0.0000
,scan,0.1,5,1.0,0.0444,2.30,Non,0.0006,inf,-1.0000,-0.0015
